"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"npr_2",1701.80923923543,1.91356643732026,0.0808739991274375,23.6610833885554,9.07675432321824e-124,4.77126756858643e-123
"gpmI",188.171212426794,1.90588912643448,0.186918280872865,10.1963762855855,2.05808573955819e-24,4.2879022318305e-24
"yecS_1",1243.27755666265,1.87405726434959,0.138107071982965,13.5695966719268,6.06548730247846e-42,1.56333043699364e-41
"pyrK_1",1515.61830822852,1.86764520543141,0.117575746061025,15.8846128389612,8.09964995643455e-57,2.46069213505369e-56
"rpsN2_1",520.435818436234,1.86623895409206,0.112048323804013,16.6556615104422,2.75283478591488e-62,8.88692926846864e-62
"ribX",942.743006792856,1.86189512483529,0.0902605227276224,20.6280117660508,1.53846672574871e-94,6.55591954065719e-94
"mutS_2",2564.86886896022,1.85928275278142,0.0697535608900696,26.6550227552055,1.56515357437376e-156,9.80829573274222e-156
"gloA",6009.55314048545,1.84585993252291,0.0737530171249206,25.0275853718154,3.06291759662796e-138,1.77338489833749e-137
"purA",37827.1164337383,1.82827359469076,0.0531555699770365,34.3947698327868,3.01893392804916e-259,2.8887762976183e-258
"cpdA_1",836.402297015926,1.82805841193422,0.101257373283445,18.0535831876363,7.39347872892882e-73,2.68517704746097e-72
"doc",167.182386779413,1.82599705852692,0.211352523646453,8.63958010542335,5.64199942882601e-18,1.0483622194493e-17
"uxaB",195.911392116586,1.81694438205406,0.171314300356663,10.6059119307105,2.79721682241302e-26,5.99993621773961e-26
"kdgK",1237.71049243424,1.81351716972178,0.0993569046786402,18.2525530116645,1.97461895116261e-74,7.28739280359779e-74
"proX_2",414.714654307021,1.81117800734681,0.137855659012433,13.1382202248474,1.98848823567846e-39,4.98838963989667e-39
"yuaF",1653.90828240937,1.80768061756595,0.0935343216187768,19.3263882848652,3.22198698251804e-83,1.26816137883345e-82
"pyrC",2516.21753371796,1.79808502894656,0.12151602003236,14.7971027068507,1.52929430763326e-49,4.31007460952019e-49
"mrp",8597.08240573343,1.78947275590925,0.0617133896735929,28.9965073280517,7.28174856807739e-185,5.2415469422467e-184
"cypC",3843.37664722848,1.77446537337984,0.0658027025506474,26.9664512945202,3.65871431733698e-160,2.30182105476555e-159
"carB",10513.1713697731,1.76568402155367,0.103664292893706,17.0327117685947,4.69759727496535e-65,1.56717337064606e-64
"manX_4",40305.7941270824,1.75363588892997,0.0583176615873847,30.0704081953333,1.18138573187718e-198,8.86316619502226e-198
"rbbA",975.783419860053,1.7524024667091,0.0957717238387911,18.2977020405193,8.63134491878307e-75,3.20020630631446e-74
"bglH_2",897.042345639177,1.75089765716265,0.0928875666935953,18.8496450008027,2.95820796399219e-79,1.13091299676065e-78
"yrrK",17393.5141292972,1.73991353563097,0.0658529501434994,26.4211934596635,7.82236684128677e-154,4.88286805170948e-153
"manZ_6",390.570008647527,1.71642386308802,0.129898060188626,13.213621978616,7.32148811603178e-40,1.84538454407236e-39
"comEC",1133.81517311926,1.70451927046301,0.0832637392342052,20.4713274486571,3.87909220522177e-93,1.63556447069773e-92
"pyrB",2068.32742615518,1.70138531695463,0.131510609648044,12.9372475841148,2.77390510219802e-38,6.8724036485464e-38
"yehU_1",41.7228460967859,1.69806841431981,0.343767229099677,4.93958780994637,7.82878832450269e-07,1.14041966659574e-06
"oppD_1",7655.84281260843,1.69587651295951,0.0796131162680873,21.3014713209925,1.1001095320155e-100,4.910544782572e-100
"anr",585.829538986348,1.6896385697368,0.102814558674611,16.4338454740072,1.09490070386248e-60,3.47153040629413e-60
"argR_1",3341.27484859714,1.68823702686467,0.064797511380778,26.0540411335223,1.21072233264264e-149,7.38448201359903e-149
"pstA",2870.16946755884,1.66903169084541,0.0696840048329644,23.9514318220681,8.92814423604725e-127,4.81999138148767e-126
"ulaA_2",144.211425335534,1.66382266875484,0.212489071269211,7.83015643494848,4.872633015653e-15,8.53779337611129e-15
"rbsK/rbiA",3842.81064593423,1.66168581977885,0.0925818182596784,17.9482953674345,4.94860837941053e-72,1.77705082928046e-71
"xpt",9324.30853162446,1.66118808563706,0.054084434901413,30.7147165106769,3.6205234626177e-207,2.76822798720722e-206
"cdr_2",1326.83714680466,1.65632129409384,0.078070473021215,21.2157199770488,6.83720464759426e-100,3.04341309940268e-99
